	TranscriptionName	modifiers	Annotation
511	zorina_schadrina	0	1
512	zorina_schadrina	0	1
513	zorina_schadrina	1	1
514	zorina_schadrina	0	1
515	zorina_schadrina	0	0
516	Koposova_Sokolova	1	1
517	Koposova_Sokolova	0	1
518	Koposova_Sokolova	0	0
519	Koposova_Sokolova	1	1
520	Koposova_Sokolova	1	1
521	Koposova_Sokolova	1	1
522	Koposova_Sokolova	1	1
523	Koposova_Sokolova	0	1
524	Koposova_Sokolova	0	1
525	Koposova_Sokolova	0	1
526	Koposova_Sokolova	0	1
527	Koposova_Sokolova	1	1
528	Koposova_Sokolova	1	1
529	Koposova_Sokolova	1	1
530	Koposova_Sokolova	1	1
531	Koposova_Sokolova	0	1
532	Koposova_Sokolova	0	1
533	Koposova_Sokolova	1	1
534	Koposova_Sokolova	0	1
535	Koposova_Sokolova	0	1
536	Koposova_Sokolova	1	0
537	Koposova_Sokolova	1	1
538	Koposova_Sokolova	1	1
539	Koposova_Sokolova	1	1
540	Koposova_Sokolova	1	0
541	Koposova_Sokolova	1	1
542	Koposova_Sokolova	1	1
543	Koposova_Sokolova	1	1
544	Koposova_Sokolova	0	1
545	Koposova_Sokolova	0	1
546	Koposova_Sokolova	1	1
547	Koposova_Sokolova	0	1
548	Koposova_Sokolova	0	1
549	Koposova_Sokolova	1	0
550	Koposova_Sokolova	1	0
551	Koposova_Sokolova	1	0
552	Koposova_Sokolova	1	1
553	Koposova_Sokolova	1	0
554	Koposova_Sokolova	1	1
555	Koposova_Sokolova	1	1
556	Koposova_Sokolova	0	1
557	Koposova_Sokolova	0	1
558	Koposova_Sokolova	1	1
559	Koposova_Sokolova	0	1
560	Koposova_Sokolova	0	1
561	Koposova_Sokolova	1	1
562	Koposova_Sokolova	0	1
563	Koposova_Sokolova	0	1
564	Koposova_Sokolova	0	1
565	Koposova_Sokolova	0	1
566	Koposova_Sokolova	0	0
567	Koposova_Sokolova	0	0
568	Koposova_Sokolova	0	0
569	Koposova_Sokolova	0	0
570	Koposova_Sokolova	1	1
571	Koposova_Sokolova	0	1
572	Koposova_Sokolova	0	1
573	Koposova_Sokolova	1	1
574	Koposova_Sokolova	1	1
575	Koposova_Sokolova	1	1
576	Koposova_Sokolova	1	0
577	Koposova_Sokolova	1	1
578	Koposova_Sokolova	1	0
579	Koposova_Sokolova	1	0
580	Koposova_Sokolova	1	0
581	Prihodko_Belyaeva	0	1
582	Prihodko_Belyaeva	0	1
583	Prihodko_Belyaeva	1	0
584	Prihodko_Belyaeva	0	1
585	Prihodko_Belyaeva	0	0
586	Prihodko_Belyaeva	1	1
587	Prihodko_Belyaeva	1	0
588	Prihodko_Belyaeva	1	1
589	Prihodko_Belyaeva	1	1
590	Prihodko_Belyaeva	0	1
591	Prihodko_Belyaeva	0	1
592	Prihodko_Belyaeva	1	0
593	Prihodko_Belyaeva	0	0
594	Prihodko_Belyaeva	0	0
595	Prihodko_Belyaeva	0	0
596	Prihodko_Belyaeva	1	0
597	Prihodko_Belyaeva	0	0
598	Prihodko_Belyaeva	0	0
599	Prihodko_Belyaeva	1	1
600	Prihodko_Belyaeva	1	1
601	Prihodko_Belyaeva	1	1
602	Prihodko_Belyaeva	1	1
603	Prihodko_Belyaeva	1	1
604	Prihodko_Belyaeva	1	1
605	Prihodko_Belyaeva	1	1
606	Prihodko_Belyaeva	1	0
607	Prihodko_Belyaeva	1	0
608	Prihodko_Belyaeva	1	1
609	Prihodko_Belyaeva	1	1
610	Prihodko_Belyaeva	1	0
611	Prihodko_Belyaeva	1	0
612	Prihodko_Belyaeva	0	0
613	Prihodko_Belyaeva	0	0
614	Prihodko_Belyaeva	1	1
615	Prihodko_Belyaeva	1	1
616	Prihodko_Belyaeva	0	1
617	Prihodko_Belyaeva	0	0
619	Prihodko_Belyaeva	1	1
620	Prihodko_Belyaeva	1	0
621	Prihodko_Belyaeva	0	0
622	Prihodko_Belyaeva	0	0
623	Prihodko_Belyaeva	1	1
624	Prihodko_Belyaeva	1	1
625	Prihodko_Belyaeva	0	0
626	Prihodko_Belyaeva	0	0
627	Prihodko_Belyaeva	0	0
628	Prihodko_Belyaeva	1	0
629	Prihodko_Belyaeva	1	1
630	Prihodko_Belyaeva	1	1
631	Prihodko_Belyaeva	1	0
632	Prihodko_Belyaeva	0	0
633	Prihodko_Belyaeva	0	0
634	Prihodko_Belyaeva	1	1
635	Prihodko_Belyaeva	0	1
636	Prihodko_Belyaeva	0	1
638	Prihodko_Belyaeva	0	1
639	Prihodko_Belyaeva	0	1
640	Prihodko_Belyaeva	0	1
641	Prihodko_Belyaeva	0	1
642	Prihodko_Belyaeva	1	1
643	Prihodko_Belyaeva	1	1
644	Prihodko_Belyaeva	0	0
645	Prihodko_Belyaeva	0	0
646	Prihodko_Belyaeva	0	1
647	Prihodko_Belyaeva	0	1
648	Prihodko_Belyaeva	0	1
649	Prihodko_Belyaeva	0	1
650	Prihodko_Belyaeva	1	0
651	Prihodko_Belyaeva	0	0
652	Prihodko_Belyaeva	0	0
653	Pushkarev_Denisov	1	1
654	Pushkarev_Denisov	1	1
655	Pushkarev_Denisov	1	1
656	Pushkarev_Denisov	1	1
657	Pushkarev_Denisov	1	1
658	Pushkarev_Denisov	1	1
659	Pushkarev_Denisov	1	0
660	Pushkarev_Denisov	1	0
661	Pushkarev_Denisov	1	1
662	Pushkarev_Denisov	0	1
663	Pushkarev_Denisov	0	0
664	Pushkarev_Denisov	1	0
665	Pushkarev_Denisov	0	0
666	Pushkarev_Denisov	0	0
667	Pushkarev_Denisov	0	1
668	Pushkarev_Denisov	0	0
669	Pushkarev_Denisov	1	0
670	Pushkarev_Denisov	0	0
671	Pushkarev_Denisov	0	0
672	Pushkarev_Denisov	0	1
673	Pushkarev_Denisov	0	0
674	Pushkarev_Denisov	1	1
675	Pushkarev_Denisov	1	1
676	Pushkarev_Denisov	1	0
677	Pushkarev_Denisov	1	0
678	Pushkarev_Denisov	1	0
679	Pushkarev_Denisov	1	1
680	Pushkarev_Denisov	1	1
681	Pushkarev_Denisov	1	0
682	Pushkarev_Denisov	1	1
683	Pushkarev_Denisov	1	1
684	Pushkarev_Denisov	0	0
685	Pushkarev_Denisov	0	0
686	Pushkarev_Denisov	1	0
687	Pushkarev_Denisov	1	1
688	Pushkarev_Denisov	1	1
689	Pushkarev_Denisov	1	1
690	Pushkarev_Denisov	0	1
691	Pushkarev_Denisov	0	0
692	Pushkarev_Denisov	1	1
693	Pushkarev_Denisov	1	1
